Comp_year,Component,Year,Value
population_2011,Population,2011,8204407
births_2012,Births,2012,134037
deaths_2012,Deaths,2012,47970
natchange_2012,Natchange,2012,86067
internal_in_2012,Dom_in,2012,634864
internal_out_2012,Dom_out,2012,685308
internal_net_2012,Dom_net,2012,-50444
international_in_2012,Int_in,2012,235744
international_out_2012,Int_out,2012,159025
international_net_2012,Int_net,2012,76719
other_change_2012,Other,2012,4018
population_2012,Population,2012,8320767
births_2013,Births,2013,131011
deaths_2013,Deaths,2013,48937
natchange_2013,Natchange,2013,82074
internal_in_2013,Dom_in,2013,630077
internal_out_2013,Dom_out,2013,683114
internal_net_2013,Dom_net,2013,-53037
international_in_2013,Int_in,2013,235890
international_out_2013,Int_out,2013,150466
international_net_2013,Int_net,2013,85424
other_change_2013,Other,2013,3759
population_2013,Population,2013,8438987
births_2014,Births,2014,127807
deaths_2014,Deaths,2014,46271
natchange_2014,Natchange,2014,81536
internal_in_2014,Dom_in,2014,671445
internal_out_2014,Dom_out,2014,749523
internal_net_2014,Dom_net,2014,-78078
international_in_2014,Int_in,2014,266056
international_out_2014,Int_out,2014,164771
international_net_2014,Int_net,2014,101285
other_change_2014,Other,2014,3462
population_2014,Population,2014,8547192
births_2015,Births,2015,128520
deaths_2015,Deaths,2015,50782
natchange_2015,Natchange,2015,77738
internal_in_2015,Dom_in,2015,681956
internal_out_2015,Dom_out,2015,760774
internal_net_2015,Dom_net,2015,-78818
international_in_2015,Int_in,2015,276085
international_out_2015,Int_out,2015,163971
international_net_2015,Int_net,2015,112114
other_change_2015,Other,2015,1319
population_2015,Population,2015,8659545
births_2016,Births,2016,129847
deaths_2016,Deaths,2016,49057
natchange_2016,Natchange,2016,80790
internal_in_2016,Dom_in,2016,665575
internal_out_2016,Dom_out,2016,766094
internal_net_2016,Dom_net,2016,-100519
international_in_2016,Int_in,2016,288794
international_out_2016,Int_out,2016,185526
international_net_2016,Int_net,2016,103268
other_change_2016,Other,2016,567
population_2016,Population,2016,8743651
births_2017,Births,2017,127359
deaths_2017,Deaths,2017,49638
natchange_2017,Natchange,2017,77721
internal_in_2017,Dom_in,2017,726504
internal_out_2017,Dom_out,2017,846187
internal_net_2017,Dom_net,2017,-119683
international_in_2017,Int_in,2017,243490
international_out_2017,Int_out,2017,170773
international_net_2017,Int_net,2017,72717
other_change_2017,Other,2017,1823
population_2017,Population,2017,8776229
births_2018,Births,2018,123594
deaths_2018,Deaths,2018,50777
natchange_2018,Natchange,2018,72817
internal_in_2018,Dom_in,2018,730422
internal_out_2018,Dom_out,2018,840766
internal_net_2018,Dom_net,2018,-110344
international_in_2018,Int_in,2018,262691
international_out_2018,Int_out,2018,168368
international_net_2018,Int_net,2018,94323
other_change_2018,Other,2018,310
population_2018,Population,2018,8833335
births_2019,Births,2019,119086
deaths_2019,Deaths,2019,48341
natchange_2019,Natchange,2019,70745
internal_in_2019,Dom_in,2019,770815
internal_out_2019,Dom_out,2019,870186
internal_net_2019,Dom_net,2019,-99371
international_in_2019,Int_in,2019,278272
international_out_2019,Int_out,2019,190625
international_net_2019,Int_net,2019,87647
other_change_2019,Other,2019,-2613
population_2019,Population,2019,8889743
births_2020,Births,2020,115925
deaths_2020,Deaths,2020,59192
natchange_2020,Natchange,2020,56733
internal_in_2020,Dom_in,2020,680372
internal_out_2020,Dom_out,2020,794354
internal_net_2020,Dom_net,2020,-113982
international_in_2020,Int_in,2020,227603
international_out_2020,Int_out,2020,189263
international_net_2020,Int_net,2020,38340
other_change_2020,Other,2020,-3826
population_2020,Population,2020,8867008
births_2021,Births,2021,109713
deaths_2021,Deaths,2021,55640
natchange_2021,Natchange,2021,54073
internal_in_2021,Dom_in,2021,850020
internal_out_2021,Dom_out,2021,1036025
internal_net_2021,Dom_net,2021,-186005
international_in_2021,Int_in,2021,221741
international_out_2021,Int_out,2021,143288
international_net_2021,Int_net,2021,78453
other_change_2021,Other,2021,-8760
population_2021,Population,2021,8804769
births_2022,Births,2022,109488
deaths_2022,Deaths,2022,52007
natchange_2022,Natchange,2022,57481
internal_in_2022,Dom_in,2022,774308
internal_out_2022,Dom_out,2022,900132
internal_net_2022,Dom_net,2022,-125824
international_in_2022,Int_in,2022,284653
international_out_2022,Int_out,2022,154473
international_net_2022,Int_net,2022,130180
other_change_2022,Other,2022,-426
population_2022,Population,2022,8866180
